attributes,count,unique,top,freq,mean,std,min,25%,50%,75%,max
pm_use_details_metrics:adultEducationWorkerDensity,1.0,,,,3.0,,3.0,3.0,3.0,3.0,3.0
pm_use_details_metrics:fireStationGrossFloorArea,13.0,,,,23853.0,13583.3613722,10080.0,15000.0,19315.0,25032.0,60000.0
pm_use_details_metrics:fitnessCenterHealthClubGymComputerDensity,4.0,,,,0.4875625,0.390022167778,0.0516,0.2215425,0.502045,0.768065,0.89456
pm_use_details_metrics:fitnessCenterHealthClubGymGrossFloorArea,4.0,,,,67693.25,84657.3348245,16768.0,19690.0,30102.5,78105.75,193800.0
pm_use_details_metrics:fitnessCenterHealthClubGymNumberOfComputers,4.0,,,,12.75,2.62995563968,10.0,10.75,13.0,15.0,15.0
pm_use_details_metrics:fitnessCenterHealthClubGymNumberOfWorkersOnMainShift,4.0,,,,6.25,3.20156211872,4.0,4.75,5.0,6.5,11.0
pm_use_details_metrics:fitnessCenterHealthClubGymWeeklyOperatingHours,4.0,,,,58.875,7.66349572106,48.5,57.125,60.0,61.75,67.0
pm_use_details_metrics:fitnessCenterHealthClubGymWorkerDensity,4.0,,,,0.1989375,0.124012662626,0.0258,0.1516275,0.23588,0.28319,0.29819
pm_use_details_metrics:hospitalGeneralMedicalSurgicalFullTimeEquivalentFteWorkers,1.0,,,,1.0,,1.0,1.0,1.0,1.0,1.0
pm_use_details_metrics:hospitalGeneralMedicalSurgicalFullTimeEquivalentFteWorkersDensity,1.0,,,,0.00222,,0.00222,0.00222,0.00222,0.00222,0.00222
pm_use_details_metrics:hospitalGeneralMedicalSurgicalGrossFloorArea,1.0,,,,450000.0,,450000.0,450000.0,450000.0,450000.0,450000.0
pm_use_details_metrics:hospitalGeneralMedicalSurgicalLicensedBedCapacity,1.0,,,,1.0,,1.0,1.0,1.0,1.0,1.0
pm_use_details_metrics:hospitalGeneralMedicalSurgicalLicensedBedCapacityDensity,1.0,,,,0.00222,,0.00222,0.00222,0.00222,0.00222,0.00222
pm_use_details_metrics:hospitalGeneralMedicalSurgicalMriDensity,1.0,,,,0.00222,,0.00222,0.00222,0.00222,0.00222,0.00222
pm_use_details_metrics:hospitalGeneralMedicalSurgicalNumberOfMriMachines,1.0,,,,1.0,,1.0,1.0,1.0,1.0,1.0
pm_use_details_metrics:hospitalGeneralMedicalSurgicalNumberOfStaffedBeds,1.0,,,,1.0,,1.0,1.0,1.0,1.0,1.0
pm_use_details_metrics:hospitalGeneralMedicalSurgicalNumberOfWorkersOnMainShift,1.0,,,,1.0,,1.0,1.0,1.0,1.0,1.0
pm_use_details_metrics:hospitalGeneralMedicalSurgicalNumberOfWorkersOnMainShiftDensity,1.0,,,,0.00222,,0.00222,0.00222,0.00222,0.00222,0.00222
pm_use_details_metrics:hospitalGeneralMedicalSurgicalOnsiteLaundryFacilitiy,1.0,,,,0.0,,0.0,0.0,0.0,0.0,0.0
pm_use_details_metrics:hospitalGeneralMedicalSurgicalOwnedBy,1,1,Governmental,1,,,,,,,
pm_use_details_metrics:hospitalGeneralMedicalSurgicalPercentThatCanBeCooled,1.0,,,,100.0,,100.0,100.0,100.0,100.0,100.0
pm_use_details_metrics:hospitalGeneralMedicalSurgicalPercentThatCanBeHeated,1.0,,,,100.0,,100.0,100.0,100.0,100.0,100.0
pm_use_details_metrics:hospitalGeneralMedicalSurgicalStaffedBedDensity,1.0,,,,0.00222,,0.00222,0.00222,0.00222,0.00222,0.00222
pm_use_details_metrics:k12SchoolComputerDensity,129.0,,,,1.26959713178,0.727106267915,0.0,0.71599,1.2369,1.75,4.07609
pm_use_details_metrics:k12SchoolCookingFacilities,131.0,4.0,100.0,123.0,,,,,,,
pm_use_details_metrics:k12SchoolGrossFloorArea,131.0,,,,105181.450382,73986.8881595,0.0,63350.0,79700.0,114162.0,394000.0
pm_use_details_metrics:k12SchoolGymnasiumFloorArea,131.0,,,,666.870229008,4281.20028712,0.0,0.0,0.0,0.0,40000.0
pm_use_details_metrics:k12SchoolHighSchool,131.0,3.0,0.0,108.0,,,,,,,
pm_use_details_metrics:k12SchoolMonthsInUse,102.0,,,,10.0898039216,0.404467576672,10.0,10.0,10.0,10.0,12.0
pm_use_details_metrics:k12SchoolNumberOfComputers,131.0,,,,126.837862595,117.226207112,0.0,64.0,95.0,147.0,623.0
pm_use_details_metrics:k12SchoolNumberOfWalkinRefrigerationFreezorUnits,131.0,,,,1.63465648855,0.90613065598,0.0,1.0,2.0,2.0,4.0
pm_use_details_metrics:k12SchoolNumberOfWorkersOnMainShift,131.0,,,,75.0265648855,51.9329355074,0.0,47.12,59.83,84.74,289.0
pm_use_details_metrics:k12SchoolPercentThatCanBeCooled,131.0,,,,94.38,15.5538597733,0.0,100.0,100.0,100.0,100.0
pm_use_details_metrics:k12SchoolPercentThatCanBeHeated,131.0,,,,96.9754198473,13.6970208024,0.0,100.0,100.0,100.0,100.0
pm_use_details_metrics:k12SchoolRefrigerationDensity,129.0,,,,0.0186796124031,0.0126592263416,0.0,0.01,0.0164,0.02747,0.06036
pm_use_details_metrics:k12SchoolSchoolDistrict,3,2,DCPS,2,,,,,,,
pm_use_details_metrics:k12SchoolStudentSeatingCapacity,131.0,,,,543.448625954,403.14103035,0.0,298.5,395.0,670.0,2304.0
pm_use_details_metrics:k12SchoolStudentSeatingDensity,129.0,,,,5.80833341085,3.09252003644,0.0,3.49138,4.96649,10.0,13.92131
pm_use_details_metrics:k12SchoolWeekendOperation,131.0,4.0,0.0,108.0,,,,,,,
pm_use_details_metrics:k12SchoolWorkerDensity,129.0,,,,0.747576589147,0.329597125465,0.0,0.76999,0.77,0.77,3.78962
pm_use_details_metrics:laboratoryComputerDensity,1.0,,,,1.20513,,1.20513,1.20513,1.20513,1.20513,1.20513
pm_use_details_metrics:laboratoryGrossFloorArea,1.0,,,,351000.0,,351000.0,351000.0,351000.0,351000.0,351000.0
pm_use_details_metrics:laboratoryNumberOfComputers,1.0,,,,423.0,,423.0,423.0,423.0,423.0,423.0
pm_use_details_metrics:laboratoryNumberOfWorkersOnMainShift,1.0,,,,282.0,,282.0,282.0,282.0,282.0,282.0
pm_use_details_metrics:laboratoryWeeklyOperatingHours,1.0,,,,60.0,,60.0,60.0,60.0,60.0,60.0
pm_use_details_metrics:laboratoryWorkerDensity,1.0,,,,0.80342,,0.80342,0.80342,0.80342,0.80342,0.80342
pm_use_details_metrics:libraryComputerDensity,6.0,,,,2.05404833333,1.75302314082,0.2625,1.0992925,1.698585,2.276315,5.2962
pm_use_details_metrics:libraryGrossFloorArea,15.0,,,,43442.5333333,98798.4048692,5098.0,16847.5,20110.0,21800.0,400000.0
pm_use_details_metrics:libraryNumberOfComputers,6.0,,,,41.6666666667,34.0039213425,12.0,23.25,28.5,48.0,105.0
pm_use_details_metrics:libraryNumberOfWorkersOnMainShift,6.0,,,,9.83333333333,12.5445871461,2.0,4.0,4.5,8.0,35.0
pm_use_details_metrics:libraryWeeklyOperatingHours,7.0,,,,57.7142857143,11.0674339952,40.0,51.0,62.0,63.75,72.5
pm_use_details_metrics:libraryWorkerDensity,6.0,,,,0.462725,0.643238249912,0.0875,0.177035,0.20734,0.3082125,1.7654
pm_use_details_metrics:multifamilyHousingGovernmentSubsidizedHousing,2.0,2.0,100.0,1.0,,,,,,,
pm_use_details_metrics:multifamilyHousingGrossFloorArea,4.0,,,,13826.5,13521.3375448,2500.0,4375.0,10280.0,19731.5,32246.0
pm_use_details_metrics:multifamilyHousingNumberOfBedrooms,4.0,,,,19.355,18.9277036818,3.5,6.125,14.39,27.62,45.14
pm_use_details_metrics:multifamilyHousingNumberOfBedroomsDensity,4.0,,,,1.3999,0.000125432584815,1.39974,1.39983,1.39993,1.4,1.4
pm_use_details_metrics:multifamilyHousingNumberOfResidentialLivingUnits,4.0,,,,18.925,17.2633281843,3.0,5.25,17.0,30.675,38.7
pm_use_details_metrics:multifamilyHousingNumberOfResidentialLivingUnitsDensity,4.0,,,,1.34991,0.299720008341,1.2,1.2,1.200075,1.349985,1.79949
pm_use_details_metrics:multifamilyHousingNumberOfResidentialLivingUnitsHighRiseSetting,4.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pm_use_details_metrics:multifamilyHousingNumberOfResidentialLivingUnitsHighRiseSettingDensity,4.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pm_use_details_metrics:multifamilyHousingNumberOfResidentialLivingUnitsLowRiseSetting,4.0,,,,18.925,17.2633281843,3.0,5.25,17.0,30.675,38.7
pm_use_details_metrics:multifamilyHousingNumberOfResidentialLivingUnitsLowRiseSettingDensity,4.0,,,,1.34991,0.299720008341,1.2,1.2,1.200075,1.349985,1.79949
pm_use_details_metrics:multifamilyHousingNumberOfResidentialLivingUnitsMidRiseSetting,4.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pm_use_details_metrics:multifamilyHousingNumberOfResidentialLivingUnitsMidRiseSettingDensity,4.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pm_use_details_metrics:multifamilyHousingPercentThatCanBeCooled,1.0,,,,100.0,,100.0,100.0,100.0,100.0,100.0
pm_use_details_metrics:multifamilyHousingPercentThatCanBeHeated,1.0,,,,100.0,,100.0,100.0,100.0,100.0,100.0
pm_use_details_metrics:multifamilyHousingResidentPopulationType,2,1,Other dedicated housing,2,,,,,,,
pm_use_details_metrics:nonrefrigeratedWarehouseGrossFloorArea,5.0,,,,61161.42,90885.2240996,0.0,0.0,0.0,102978.1,202829.0
pm_use_details_metrics:nonrefrigeratedWarehouseNumberOfWalkinRefrigerationFreezerUnits,5.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pm_use_details_metrics:nonrefrigeratedWarehouseNumberOfWorkerOnMainShift,5.0,,,,4.2,9.3914855055,0.0,0.0,0.0,0.0,21.0
pm_use_details_metrics:nonrefrigeratedWarehousePercentThatCanBeCooled,5.0,,,,6.0,8.94427191,0.0,0.0,0.0,10.0,20.0
pm_use_details_metrics:nonrefrigeratedWarehousePercentThatCanBeHeated,5.0,,,,12.0,21.6794833887,0.0,0.0,0.0,10.0,50.0
pm_use_details_metrics:nonrefrigeratedWarehouseWalkinRefrigerationDensity,2.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pm_use_details_metrics:nonrefrigeratedWarehouseWeeklyOperatingHours,5.0,,,,21.45,29.7155262447,0.0,0.0,0.0,47.25,60.0
pm_use_details_metrics:nonrefrigeratedWarehouseWorkerDensity,2.0,,,,0.05177,0.0732138361241,0.0,0.025885,0.05177,0.077655,0.10354
pm_use_details_metrics:officeComputerDensity,24.0,,,,2.29910333333,2.1442440703,0.0,1.0376425,2.0,2.6026575,9.68023
pm_use_details_metrics:officeGrossFloorArea,32.0,,,,123372.471875,195240.674401,0.0,10125.0,32873.0,136000.0,850354.0
pm_use_details_metrics:officeNumberOfComputers,32.0,,,,265.5015625,490.291975572,0.0,0.0,58.845,240.75,2000.0
pm_use_details_metrics:officeNumberOfWorkersOnMainShift,32.0,,,,227.0396875,360.162748701,0.0,0.0,71.05,256.125,1500.0
pm_use_details_metrics:officePercentThatCanBeCooled,32.0,,,,75.0,43.9941345064,0.0,75.0,100.0,100.0,100.0
pm_use_details_metrics:officePercentThatCanBeHeated,32.0,,,,75.0,43.9941345064,0.0,75.0,100.0,100.0,100.0
pm_use_details_metrics:officeWeeklyOperatingHours,32.0,,,,48.0184375,38.5691491379,0.0,0.0,65.0,65.0,168.0
pm_use_details_metrics:officeWorkerDensity,24.0,,,,2.36697708333,1.8865614587,0.0,1.4172225,2.3,2.938825,8.72093
pm_use_details_metrics:otherComputerDensity,6.0,,,,1.33141166667,1.62855177742,0.03143,0.3267375,0.39234,2.6111325,3.51676
pm_use_details_metrics:otherEducationComputerDensity,1.0,,,,0.78397,,0.78397,0.78397,0.78397,0.78397,0.78397
pm_use_details_metrics:otherEducationGrossFloorArea,4.0,,,,28448.25,32772.5680855,9813.0,11063.25,13240.0,30625.0,77500.0
pm_use_details_metrics:otherEducationNumberOfComputers,1.0,,,,9.0,,9.0,9.0,9.0,9.0,9.0
pm_use_details_metrics:otherEducationNumberOfWorkersOnMainShift,1.0,,,,6.0,,6.0,6.0,6.0,6.0,6.0
pm_use_details_metrics:otherEducationWeeklyOperatingHours,3.0,,,,44.3333333333,4.04145188433,40.0,42.5,45.0,46.5,48.0
pm_use_details_metrics:otherEducationWorkerDensity,1.0,,,,0.52265,,0.52265,0.52265,0.52265,0.52265,0.52265
pm_use_details_metrics:otherGrossFloorArea,17.0,,,,151326.764706,189845.564054,11370.0,31926.0,51622.0,149285.0,588000.0
pm_use_details_metrics:otherLodgingResidentialComputerDensity,1.0,,,,0.10083,,0.10083,0.10083,0.10083,0.10083,0.10083
pm_use_details_metrics:otherLodgingResidentialGrossFloorArea,5.0,,,,22307.6,7835.88111191,12546.0,18340.0,20000.0,29752.0,30900.0
pm_use_details_metrics:otherLodgingResidentialNumberOfComputers,1.0,,,,3.0,,3.0,3.0,3.0,3.0,3.0
pm_use_details_metrics:otherLodgingResidentialNumberOfWorkersOnMainShift,1.0,,,,3.0,,3.0,3.0,3.0,3.0,3.0
pm_use_details_metrics:otherLodgingResidentialWeeklyOperatingHours,1.0,,,,168.0,,168.0,168.0,168.0,168.0,168.0
pm_use_details_metrics:otherLodgingResidentialWorkerDensity,1.0,,,,0.10083,,0.10083,0.10083,0.10083,0.10083,0.10083
pm_use_details_metrics:otherNumberOfComputers,6.0,,,,147.5,198.287417654,11.0,19.75,67.0,175.0,525.0
pm_use_details_metrics:otherNumberOfWorkersOnMainShift,6.0,,,,97.6666666667,130.930006747,10.0,12.0,57.5,100.0,350.0
pm_use_details_metrics:otherPublicServicesGrossFloorArea,11.0,,,,16418.5454545,9864.46249284,10248.0,12125.0,12800.0,14568.5,43955.0
pm_use_details_metrics:otherPublicServicesNumberOfWorkersOnMainShift,1.0,,,,80.0,,80.0,80.0,80.0,80.0,80.0
pm_use_details_metrics:otherPublicServicesWeeklyOperatingHours,1.0,,,,168.0,,168.0,168.0,168.0,168.0,168.0
pm_use_details_metrics:otherPublicServicesWorkerDensity,1.0,,,,1.82004,,1.82004,1.82004,1.82004,1.82004,1.82004
pm_use_details_metrics:otherRecreationComputerDensity,9.0,,,,0.303638888889,0.27409535072,0.0,0.14798,0.16805,0.42676,0.84626
pm_use_details_metrics:otherRecreationGrossFloorArea,16.0,,,,39975.5625,46197.5847117,3545.0,15942.25,22446.0,44122.75,194300.0
pm_use_details_metrics:otherRecreationNumberOfComputers,9.0,,,,10.3333333333,6.87386354243,0.0,4.0,11.0,15.0,20.0
pm_use_details_metrics:otherRecreationNumberOfWorkersOnMainShift,9.0,,,,5.11111111111,3.33333333333,0.0,3.0,4.0,8.0,10.0
pm_use_details_metrics:otherRecreationWeeklyOperatingHours,9.0,,,,66.5,10.3682206767,48.5,61.0,65.0,72.0,84.0
pm_use_details_metrics:otherRecreationWorkerDensity,9.0,,,,0.303638888889,0.27409535072,0.0,0.14798,0.16805,0.42676,0.84626
pm_use_details_metrics:otherServicesGrossFloorArea,1.0,,,,134114.0,,134114.0,134114.0,134114.0,134114.0,134114.0
pm_use_details_metrics:otherWeeklyOperatingHours,6.0,,,,70.9166666667,48.5390736074,40.0,44.375,55.0,63.75,168.0
pm_use_details_metrics:otherWorkerDensity,6.0,,,,1.06977833333,1.41264111081,0.03143,0.11361,0.307305,1.8695175,3.33333
pm_use_details_metrics:outpatientRehabilitationPhysicalTherapyGrossFloorArea,1.0,,,,819577.0,,819577.0,819577.0,819577.0,819577.0,819577.0
pm_use_details_metrics:parkingCompletelyEnclosedParkingGarageSize,9.0,,,,70688.6666667,70303.4903277,500.0,18944.0,49910.0,140972.0,170455.0
pm_use_details_metrics:parkingGrossFloorArea,9.0,,,,70688.6666667,70303.4903277,500.0,18944.0,49910.0,140972.0,170455.0
pm_use_details_metrics:parkingOpenParkingLotSize,9.0,,,,3888.88888889,11666.6666667,0.0,0.0,0.0,0.0,35000.0
pm_use_details_metrics:parkingPartiallyEnclosedParkingGarageSize,9.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pm_use_details_metrics:parkingSupplementalHeating,9.0,4.0,0.0,4.0,,,,,,,
pm_use_details_metrics:policeStationComputerDensity,3.0,,,,1.86932666667,0.655280254344,1.11326,1.66742,2.22158,2.24736,2.27314
pm_use_details_metrics:policeStationGrossFloorArea,9.0,,,,68809.5555556,67248.5247517,14125.0,43190.0,45013.0,51176.0,233500.0
pm_use_details_metrics:policeStationNumberOfComputers,3.0,,,,108.333333333,14.4337567297,100.0,100.0,100.0,112.5,125.0
pm_use_details_metrics:policeStationNumberOfWorkersOnMainShift,3.0,,,,83.3333333333,57.735026919,50.0,50.0,50.0,100.0,150.0
pm_use_details_metrics:policeStationWeeklyOperatingHours,3.0,,,,126.916666667,71.1584206776,44.75,106.375,168.0,168.0,168.0
pm_use_details_metrics:policeStationWorkerDensity,3.0,,,,1.19442333333,0.12320718215,1.11079,1.12368,1.13657,1.23624,1.33591
pm_use_details_metrics:repairServicesVehicleShoeLocksmithEtcComputerDensity,1.0,,,,0.24606,,0.24606,0.24606,0.24606,0.24606,0.24606
pm_use_details_metrics:repairServicesVehicleShoeLocksmithEtcGrossFloorArea,1.0,,,,134114.0,,134114.0,134114.0,134114.0,134114.0,134114.0
pm_use_details_metrics:repairServicesVehicleShoeLocksmithEtcNumberOfComputers,1.0,,,,33.0,,33.0,33.0,33.0,33.0,33.0
pm_use_details_metrics:repairServicesVehicleShoeLocksmithEtcNumberOfWorkersOnMainShift,1.0,,,,28.0,,28.0,28.0,28.0,28.0,28.0
pm_use_details_metrics:repairServicesVehicleShoeLocksmithEtcWeeklyOperatingHours,1.0,,,,50.0,,50.0,50.0,50.0,50.0,50.0
pm_use_details_metrics:repairServicesVehicleShoeLocksmithEtcWorkerDensity,1.0,,,,0.20878,,0.20878,0.20878,0.20878,0.20878,0.20878
pm_use_details_metrics:residenceHallDormitoryComputerLab,1.0,,,,100.0,,100.0,100.0,100.0,100.0,100.0
pm_use_details_metrics:residenceHallDormitoryDiningHall,1.0,,,,100.0,,100.0,100.0,100.0,100.0,100.0
pm_use_details_metrics:residenceHallDormitoryGrossFloorArea,1.0,,,,39000.0,,39000.0,39000.0,39000.0,39000.0,39000.0
pm_use_details_metrics:residenceHallDormitoryNumberOfRooms,1.0,,,,10.0,,10.0,10.0,10.0,10.0,10.0
pm_use_details_metrics:residenceHallDormitoryPercentThatCanBeCooled,1.0,,,,90.0,,90.0,90.0,90.0,90.0,90.0
pm_use_details_metrics:residenceHallDormitoryPercentThatCanBeHeated,1.0,,,,90.0,,90.0,90.0,90.0,90.0,90.0
pm_use_details_metrics:residenceHallDormitoryRoomDensity,1.0,,,,0.25641,,0.25641,0.25641,0.25641,0.25641,0.25641
pm_use_details_metrics:seniorCareCommunityAverageNumberOfResidents,4.0,,,,12.7425,8.54283471688,5.19,9.0825,10.38,14.04,25.02
pm_use_details_metrics:seniorCareCommunityCommercialRefrigerationDensity,4.0,,,,0.0884275,0.00457650066463,0.08171,0.0879275,0.09,0.0905,0.092
pm_use_details_metrics:seniorCareCommunityCommercialWashingMachineDensity,4.0,,,,0.0429325,0.002135,0.03973,0.0429325,0.044,0.044,0.044
pm_use_details_metrics:seniorCareCommunityComputerDensity,4.0,,,,0.446235,0.15647,0.368,0.368,0.368,0.446235,0.68094
pm_use_details_metrics:seniorCareCommunityElectronicLiftDensity,4.0,,,,0.06893,0.00359901838469,0.06372,0.06843,0.07,0.0705,0.072
pm_use_details_metrics:seniorCareCommunityGrossFloorArea,4.0,,,,6459.975,4735.60358728,2500.0,4375.0,5000.0,7084.975,13339.9
pm_use_details_metrics:seniorCareCommunityLicensedBedCapacity,4.0,,,,9.945,6.66911538362,4.05,7.0875,8.1,10.9575,19.53
pm_use_details_metrics:seniorCareCommunityLicensedBedCapacityDensity,4.0,,,,1.5810075,0.077985,1.46403,1.5810075,1.62,1.62,1.62
pm_use_details_metrics:seniorCareCommunityLivingUnitDensity,4.0,,,,1.54595,0.0761,1.4318,1.54595,1.584,1.584,1.584
pm_use_details_metrics:seniorCareCommunityMaximumResidentCapacity,4.0,,,,14.575,9.77171598714,5.94,10.3875,11.87,16.0575,28.62
pm_use_details_metrics:seniorCareCommunityNumberOfCommercialWashingMachines,4.0,,,,0.27,0.180923556601,0.11,0.1925,0.22,0.2975,0.53
pm_use_details_metrics:seniorCareCommunityNumberOfCommericalRefrigerationFreezerUnits,4.0,,,,0.555,0.371438644552,0.23,0.395,0.45,0.61,1.09
pm_use_details_metrics:seniorCareCommunityNumberOfComputers,4.0,,,,3.42,3.79817500036,0.92,1.61,1.84,3.65,9.08
pm_use_details_metrics:seniorCareCommunityNumberOfResidentialElectronicLiftSystems,4.0,,,,0.4325,0.289640581871,0.18,0.3075,0.35,0.475,0.85
pm_use_details_metrics:seniorCareCommunityNumberOfResidentialLivingUnits,4.0,,,,9.725,6.52282914079,3.96,6.93,7.92,10.715,19.1
pm_use_details_metrics:seniorCareCommunityNumberOfResidentialWashingMachines,4.0,,,,0.3525,0.235849528301,0.14,0.2525,0.29,0.39,0.69
pm_use_details_metrics:seniorCareCommunityNumberOfWorkersOnMainShift,4.0,,,,5.0825,2.49781738057,2.38,4.165,4.76,5.6775,8.43
pm_use_details_metrics:seniorCareCommunityPercentThatCanBeCooled,4.0,,,,100.0,0.0,100.0,100.0,100.0,100.0,100.0
pm_use_details_metrics:seniorCareCommunityPercentThatCanBeHeated,4.0,,,,100.0,0.0,100.0,100.0,100.0,100.0,100.0
pm_use_details_metrics:seniorCareCommunityResidentDensity,4.0,,,,2.025895,0.10021,1.87558,2.025895,2.076,2.076,2.076
pm_use_details_metrics:seniorCareCommunityResidentialWashingMachineDensity,4.0,,,,0.05593,0.00296078818335,0.05172,0.05493,0.057,0.058,0.058
pm_use_details_metrics:seniorCareCommunityWorkerDensity,4.0,,,,0.87192,0.16016,0.63168,0.87192,0.952,0.952,0.952
pm_use_details_metrics:socialMeetingHallComputerDensity,1.0,,,,0.01805,,0.01805,0.01805,0.01805,0.01805,0.01805
pm_use_details_metrics:socialMeetingHallGrossFloorArea,2.0,,,,71663.5,55347.3690838,32527.0,52095.25,71663.5,91231.75,110800.0
pm_use_details_metrics:socialMeetingHallNumberOfComputers,1.0,,,,2.0,,2.0,2.0,2.0,2.0,2.0
pm_use_details_metrics:socialMeetingHallNumberOfWorkersOnMainShift,1.0,,,,2.0,,2.0,2.0,2.0,2.0,2.0
pm_use_details_metrics:socialMeetingHallWeeklyOperatingHours,1.0,,,,60.0,,60.0,60.0,60.0,60.0,60.0
pm_use_details_metrics:socialMeetingHallWorkerDensity,1.0,,,,0.01805,,0.01805,0.01805,0.01805,0.01805,0.01805
pm_use_details_metrics:swimmingPoolApproximatePoolSize,10,3,Olympic (50 meters x 25 meters),4,,,,,,,
pm_use_details_metrics:swimmingPoolLocationOfPool,10,2,Indoor,9,,,,,,,
pm_use_details_metrics:swimmingPoolMonthsInUse,7.0,,,,11.3085714286,0.945082510885,10.0,10.58,12.0,12.0,12.0
pm_water_meter_id,22,1,,22,,,,,,,
sensors_updated_yesterday,43.0,,,,49.6279069767,177.868600946,0.0,0.0,0.0,0.0,979.0
slug,658,658,Gateway+Sign+%28Welcome+to+Wash%29+-+3100T+BLADENSBURG+ROAD+NE,1,,,,,,,
square_feet,373.0,,,,74567.7855228,107396.533567,801.0,13547.0,42470.0,84400.0,850354.0
street_view:panorama_id,143,139,,2,,,,,,,
street_view:panorama_pov_heading,141,140,88.13777923583984,2,,,,,,,
street_view:panorama_pov_pitch,141,140,2.6932144165039062,2,,,,,,,
street_view:placeholder_img_url,116,116,https://nce-dashboard.s3.amazonaws.com/production/uploads/building/picture/image/310/842383-sherwood-recreation-center-1.jpg,1,,,,,,,
street_view:updated_at,142.0,,,,1496022426.71,15560058.7015,1477602998.0,1481142305.25,1490635098.5,1503597095.0,1530121475.0
street_view:updated_by,142.0,,,,7.54225352113,13.5435327737,2.0,2.0,2.0,2.0,61.0
street_view:use_placeholder_img,658,2,true,559,,,,,,,
street_view:zoom,141,16,1.1699250014423124,82,,,,,,,
updated_at,658.0,,,,1527820474.11,6750851.33375,1510597965.0,1526325265.0,1531302936.0,1531383039.75,1531391404.0
