building_name,BG_breakouts_max:
PrimClass_Everett,6.0
UnivClass_Clifford,4.0
Office_Elizabeth,2.0
Office_Ellie,2.0
PrimClass_Elisabeth,2.0
Office_Cristina,2.0
PrimClass_Jolie,10.0
PrimClass_Jaylin,9.0
Office_Jesus,2.0
PrimClass_Esmeralda,5.0
PrimClass_Eoghan,5.0
PrimClass_Edwin,6.0
PrimClass_Eli,6.0
PrimClass_Ethel,7.0
PrimClass_Ernesto,7.0
PrimClass_Emanuela,7.0
PrimClass_Emilio,4.0
PrimClass_Eleanor,4.0
PrimClass_Ezekiel,6.0
PrimClass_Elliott,8.0
PrimClass_Ellen,7.0
PrimClass_Evie,6.0
PrimClass_Elijah,6.0
PrimClass_Ezra,6.0
PrimClass_Edmund,2.0
PrimClass_Eva,6.0
Office_Erik,6.0
PrimClass_Ebony,4.0
PrimClass_Ethan,4.0
PrimClass_Elmer,6.0
PrimClass_Ervin,5.0
PrimClass_Uma,8.0
UnivClass_Tamra,5.0
PrimClass_Ernest,5.0
PrimClass_Emily,6.0
Office_Evelyn,0.0
PrimClass_Jayla,9.0
Office_Emer,3.0
PrimClass_Janiya,9.0
PrimClass_Umar,8.0
Office_Elena,3.0
PrimClass_Janice,3.0
Office_Jett,2.0
UnivDorm_Una,5.0
UnivLab_Paul,4.0
Office_Jerry,3.0
Office_Eileen,0.0
PrimClass_Uriah,8.0
PrimClass_Ulysses,8.0
Office_Lesa,5.0
UnivDorm_Claudia,7.0
Office_Emerald,0.0
Office_Ellis,4.0
UnivClass_Tammy,4.0
PrimClass_Jaden,8.0
Office_Elliot,3.0
PrimClass_Jermaine,8.0
PrimClass_Josephine,9.0
Office_Eddie,3.0
Office_Jackie,2.0
UnivDorm_Carla,4.0
UnivClass_Camden,1.0
PrimClass_Javier,9.0
PrimClass_Jeanette,4.0
PrimClass_Julius,10.0
PrimClass_Jaylinn,8.0
PrimClass_Johanna,9.0
PrimClass_Jodie,8.0
PrimClass_Johnathan,9.0
PrimClass_Janis,8.0
PrimClass_Jamal,9.0
PrimClass_Jose,7.0
PrimClass_Julianna,9.0
PrimClass_Jasmine,7.0
PrimClass_Jazmine,7.0
PrimClass_Justin,8.0
Office_Marla,3.0
PrimClass_Jody,8.0
PrimClass_Julianne,8.0
PrimClass_Justice,8.0
UnivClass_Craig,4.0
PrimClass_Jean,8.0
PrimClass_Jenna,6.0
PrimClass_Judith,7.0
PrimClass_Jessie,9.0
PrimClass_Joselyn,9.0
UnivLab_Bethany,6.0
PrimClass_Judy,9.0
PrimClass_Jarrett,7.0
PrimClass_Jeannine,7.0
PrimClass_Jeff,9.0
PrimClass_Julian,9.0
PrimClass_Jeanine,9.0
UnivClass_Jadon,7.0
Office_Maryann,3.0
UnivClass_Boyd,3.0
PrimClass_Jerome,7.0
PrimClass_Jacqueline,9.0
PrimClass_Jill,9.0
PrimClass_Jim,8.0
Office_Myron,3.0
PrimClass_Janet,9.0
PrimClass_Janie,7.0
PrimClass_Jensen,10.0
PrimClass_Jeffrey,5.0
Office_Conrad,3.0
UnivDorm_Prince,6.0
PrimClass_Jennifer,10.0
UnivClass_Therese,3.0
PrimClass_Jesse,8.0
Office_Mick,5.0
PrimClass_Jaxson,8.0
PrimClass_Jimmie,7.0
Office_Jayden,2.0
UnivDorm_Chelsey,8.0
PrimClass_Jayda,7.0
UnivDorm_Christopher,4.0
PrimClass_Jocelyn,8.0
PrimClass_Jeffery,7.0
UnivDorm_Cheyenne,6.0
UnivDorm_Patti,5.0
PrimClass_Jayson,7.0
UnivLab_Crystal,4.0
UnivDorm_Jeannette,2.0
Office_Moises,3.0
PrimClass_Jennie,7.0
PrimClass_Jonathon,6.0
UnivDorm_Christi,4.0
PrimClass_Jaqueline,8.0
UnivClass_Amari,6.0
Office_Tod,2.0
PrimClass_Jeremy,7.0
PrimClass_Josue,8.0
UnivDorm_Marlene,6.0
UnivClass_Teri,3.0
PrimClass_Julio,7.0
UnivDorm_Cheri,4.0
UnivDorm_Lorraine,2.0
PrimClass_Jacquelyn,8.0
PrimClass_Juanita,5.0
PrimClass_Joel,9.0
Office_Marcus,5.0
UnivClass_Candy,7.0
PrimClass_Joey,5.0
UnivDorm_Celeste,5.0
UnivClass_Shawna,5.0
PrimClass_Joanna,7.0
UnivClass_Ariana,8.0
PrimClass_Jediah,9.0
Office_Bobbi,4.0
Office_Georgia,2.0
PrimClass_Janelle,10.0
Office_Skyler,3.0
Office_Marc,4.0
Office_Mary,4.0
UnivDorm_Payton,7.0
Office_Ayesha,7.0
PrimClass_Jane,7.0
PrimClass_Jon,8.0
UnivDorm_Patty,4.0
UnivDorm_Adan,3.0
Office_Monty,4.0
UnivLab_Clint,2.0
PrimClass_Jake,8.0
Office_Joan,5.0
UnivLab_Cesar,6.0
UnivDorm_Cian,4.0
PrimClass_Johnnie,7.0
Office_Marlon,6.0
UnivDorm_Curtis,8.0
UnivDorm_Leonard,9.0
Office_Javon,0.0
UnivClass_Pete,1.0
PrimClass_Johnathon,9.0
Office_Jeanne,0.0
PrimClass_Jamie,7.0
Office_Pamela,1.0
Office_Allyson,2.0
PrimClass_Jacob,7.0
Office_Amelie,2.0
UnivDorm_Patrice,3.0
UnivClass_Alexander,0.0
Office_Maximus,0.0
Office_Ava,1.0
Office_Michael,7.0
Office_Caleb,1.0
Office_Scottie,2.0
Office_Cecelia,2.0
Office_Nelson,3.0
PrimClass_Angela,5.0
Office_Abbey,0.0
UnivDorm_Candace,3.0
UnivDorm_Clayton,4.0
UnivDorm_Ahmad,8.0
UnivClass_Armando,3.0
UnivDorm_April,5.0
Office_John,0.0
Office_Moses,6.0
UnivDorm_Corey,5.0
Office_Martha,3.0
UnivClass_Anamaria,3.0
UnivDorm_Cooper,7.0
UnivClass_Andy,3.0
UnivClass_Archie,8.0
Office_Mercedes,7.0
UnivClass_Stuart,6.0
Office_Mat,7.0
Office_Clifton,2.0
UnivLab_Cindy,3.0
UnivLab_Neil,2.0
Office_Marilyn,3.0
UnivDorm_Malachi,7.0
UnivDorm_Mathew,7.0
UnivDorm_Ashleigh,6.0
Office_Malik,3.0
UnivClass_Sam,4.0
UnivClass_Alec,3.0
UnivClass_Alvin,3.0
Office_Alyson,3.0
Office_Benjamin,6.0
UnivDorm_Piper,6.0
UnivDorm_Colton,3.0
UnivDorm_Paola,2.0
UnivLab_Miles,6.0
UnivDorm_Lawrence,4.0
UnivClass_Sheila,5.0
UnivDorm_Alonzo,5.0
UnivClass_Beatrice,2.0
Office_Mohammed,9.0
UnivDorm_Chester,3.0
UnivLab_Tami,3.0
Office_Bianca,0.0
UnivDorm_Phillip,5.0
UnivDorm_Mitch,5.0
UnivDorm_Casey,3.0
UnivClass_Colette,4.0
Office_Benthe,6.0
Office_Gemma,1.0
UnivDorm_Leticia,8.0
Office_Micheal,5.0
UnivClass_Abraham,3.0
UnivDorm_Leslie,8.0
UnivDorm_Poppy,2.0
Office_Corbin,7.0
Office_Aubrey,5.0
Office_Autumn,1.0
Office_Abigail,3.0
Office_Mark,3.0
UnivDorm_Lysander,3.0
UnivClass_Christian,9.0
UnivClass_Alexandra,9.0
UnivLab_Tracie,3.0
UnivClass_Philip,4.0
UnivDorm_Antonio,6.0
UnivDorm_Malcolm,7.0
Office_Travis,2.0
Office_Lena,3.0
Office_Max,5.0
UnivClass_Allen,6.0
UnivDorm_Ciaran,5.0
UnivClass_Pandora,7.0
Office_Gustavo,4.0
UnivDorm_Alyssa,2.0
UnivClass_Axel,2.0
UnivDorm_Phoebe,3.0
Office_Penny,0.0
Office_Garrett,4.0
UnivLab_Terrie,2.0
UnivLab_Tracy,0.0
UnivClass_Phyllis,0.0
UnivDorm_Marquis,7.0
PrimClass_Jazmin,9.0
UnivClass_Seb,6.0
Office_Annika,3.0
Office_Shawnette,3.0
Office_Cody,5.0
PrimClass_Jaiden,8.0
Office_Charles,5.0
UnivDorm_Avery,4.0
UnivLab_Taylor,4.0
UnivClass_Carl,0.0
Office_Pam,8.0
UnivClass_Conor,4.0
UnivLab_Lilly,4.0
UnivDorm_Mauricio,7.0
UnivClass_Maddison,5.0
UnivClass_Annmarie,2.0
Office_Asher,6.0
UnivDorm_Petar,3.0
UnivClass_Stephen,4.0
UnivClass_Serenity,6.0
Office_Mada,3.0
Office_Lillian,2.0
Office_Al,0.0
UnivLab_Preston,8.0
Office_Clarissa,1.0
UnivClass_Nishka,3.0
Office_Andrea,6.0
UnivDorm_Mckenzie,8.0
UnivClass_Ayanna,3.0
UnivClass_Nickolas,5.0
UnivClass_Amya,2.0
UnivClass_Nathaniel,5.0
UnivDorm_Alka,2.0
Office_Pat,5.0
UnivClass_Charlie,3.0
UnivLab_Alexis,6.0
UnivClass_Alexandria,3.0
UnivClass_Annabella,7.0
UnivClass_Antoinette,2.0
UnivDorm_Cathal,4.0
Office_Marianne,1.0
UnivLab_Cedric,1.0
Office_Angelo,0.0
Office_Anastasia,2.0
Office_Marvin,7.0
Office_Glenda,4.0
UnivClass_Sylvia,7.0
UnivLab_Susan,2.0
UnivClass_Peter,1.0
UnivClass_Aoibhe,7.0
UnivClass_Ciara,2.0
Office_Brian,2.0
UnivLab_Beth,0.0
UnivClass_Anya,3.0
Office_Maya,4.0
Office_Gisselle,7.0
Office_Phebian,3.0
Office_Matthew,4.0
UnivClass_Bob,0.0
Office_Amelia,2.0
Office_Jan,0.0
UnivClass_Alicia,2.0
Office_Madeleine,5.0
Office_Angelina,3.0
Office_Jackson,0.0
Office_Melinda,3.0
Office_Catherine,6.0
UnivDorm_Carter,5.0
Office_Gloria,5.0
UnivClass_Alexus,5.0
UnivDorm_Leann,3.0
UnivClass_Anne,4.0
UnivDorm_Cornelius,4.0
Office_Sinead,6.0
Office_Megan,3.0
UnivClass_Alfredo,3.0
UnivClass_Conner,5.0
UnivClass_Nelly,5.0
UnivDorm_Alex,7.0
Office_Shari,6.0
Office_Madisyn,4.0
Office_Natasha,3.0
UnivClass_Calvin,2.0
Office_Jude,0.0
UnivLab_Aniya,4.0
UnivDorm_Alphonso,8.0
Office_Angelica,8.0
Office_Morgan,8.0
UnivLab_Adrian,3.0
UnivLab_Christy,2.0
Office_Marion,2.0
UnivLab_Christine,1.0
UnivDorm_Cara,7.0
UnivClass_Adrienne,7.0
UnivClass_Nicholas,6.0
UnivClass_Nayeli,4.0
UnivClass_Carolyn,8.0
Office_Joni,0.0
UnivLab_Madelyn,0.0
UnivLab_Arianna,1.0
UnivLab_Ciel,3.0
Office_Paige,1.0
Office_Martin,4.0
UnivClass_Clay,4.0
PrimClass_Angel,2.0
Office_Muhammad,3.0
UnivLab_Ali,1.0
Office_Gladys,4.0
Office_Stella,2.0
UnivLab_Brad,3.0
Office_Louise,3.0
UnivClass_Noreen,5.0
UnivLab_Mack,3.0
UnivLab_Mariana,2.0
Office_Guillermo,5.0
Office_Paulina,4.0
UnivLab_Cayden,3.0
Office_Gabriela,4.0
UnivDorm_Pedro,5.0
UnivLab_Albert,1.0
UnivLab_Alaina,8.0
UnivLab_Ana,2.0
UnivDorm_Constance,5.0
Office_Carolina,2.0
UnivDorm_Cathalina,6.0
Office_Noel,4.0
UnivClass_Anika,6.0
UnivLab_Clodagh,2.0
UnivLab_Annette,2.0
Office_Alannah,2.0
Office_Aliyah,5.0
Office_Curt,4.0
UnivDorm_Carey,4.0
UnivLab_Angie,4.0
UnivClass_Celia,1.0
Office_Glenn,3.0
UnivLab_Andre,2.0
Office_Terrell,3.0
UnivDorm_Laura,2.0
UnivLab_Mario,3.0
UnivClass_Aidan,6.0
UnivLab_Annabelle,2.0
Office_Leland,4.0
UnivClass_Brett,4.0
UnivLab_Caesar,4.0
Office_Mikayla,5.0
UnivClass_Stephanie,6.0
UnivLab_Marshall,5.0
Office_Ayden,2.0
UnivClass_Cathleen,0.0
UnivLab_Collin,6.0
UnivDorm_Camila,4.0
UnivClass_Alejandra,4.0
Office_Colby,4.0
Office_Carissa,2.0
UnivLab_Peggy,2.0
Office_Paula,2.0
UnivLab_Marie,5.0
UnivLab_Suzette,7.0
UnivLab_Alberto,7.0
UnivLab_Aurora,3.0
UnivLab_Lyle,4.0
UnivLab_Lauren,5.0
UnivLab_Ariel,3.0
Office_Ashanti,3.0
UnivClass_Caoimhe,3.0
UnivLab_Cam,2.0
Office_Garman,2.0
UnivLab_Phil,4.0
Office_Cora,3.0
UnivLab_Ashlee,5.0
UnivClass_Nash,3.0
UnivLab_Allan,4.0
UnivLab_Bert,4.0
UnivClass_Chandler,7.0
UnivLab_Callie,2.0
UnivLab_Caitlin,4.0
UnivLab_Ashlynn,1.0
Office_Mason,5.0
UnivLab_Alfonso,1.0
UnivDorm_Alyshialynn,4.0
UnivLab_Amaya,1.0
UnivLab_Carol,1.0
Office_Clinton,2.0
UnivLab_Ashton,1.0
UnivLab_Cory,1.0
UnivLab_Cheyanne,1.0
Office_Paulette,4.0
UnivLab_Amy,2.0
Office_Dawn,2.0
Office_Perla,2.0
Office_Precious,2.0
Office_Patricia,5.0
UnivLab_Carlton,1.0
UnivLab_Camryn,4.0
UnivLab_Margret,4.0
UnivLab_Cecil,2.0
Office_Pasquale,2.0
UnivLab_Levi,3.0
UnivLab_Patsy,3.0
Office_Bryon,3.0
UnivClass_Abby,3.0
UnivLab_Brenna,3.0
UnivLab_Audra,2.0
UnivLab_Lester,2.0
UnivClass_Caitlyn,4.0
UnivLab_Cristian,1.0
UnivLab_Carley,2.0
UnivLab_Alina,5.0
UnivLab_Allison,3.0
UnivLab_Peyton,4.0
Office_Marcia,4.0
UnivLab_Aine,2.0
UnivLab_Santiago,2.0
UnivLab_Anita,4.0
UnivLab_Parker,1.0
UnivLab_Lee,3.0
Office_Dorian,4.0
Office_Shelly,5.0
UnivLab_Alisa,0.0
UnivLab_Louie,2.0
UnivLab_Priscilla,2.0
UnivLab_Patrick,1.0
UnivDorm_Adriana,6.0
UnivLab_Carole,2.0
UnivLab_Paris,5.0
Office_Pauline,2.0
UnivLab_Dianna,2.0
UnivDorm_Cecilia,5.0
Office_Luann,4.0
Office_Milton,2.0
Office_Lane,2.0
Office_Cameron,4.0
UnivLab_Lea,4.0
UnivLab_Carlos,3.0
UnivLab_Aoife,2.0
