uid,dataend,datastart,energystarscore,heatingtype,industry,mainheatingtype,numberoffloors,occupants,primaryspaceusage,rating,sqft,sqm,subindustry,timezone,yearbuilt,nickname,primaryspaceuse_abbrev,newweatherfilename
PrimClass_Ernie,2012-12-31 23:00:00,2012-01-01 00:00:00,,,Education,,,,Primary/Secondary Classroom,,105530.0,9804.05359,Primary/Secondary School,America/New_York,,Ernie,PrimClass,weather12.csv
UnivClass_Corbin,2015-12-31 23:00:00,2015-01-01 00:00:00,,,Education,,,,College Classroom,,56969.0,5292.591007,College/University,America/New_York,1967.0,Corbin,UnivClass,weather2.csv
Office_Ellis,2012-12-31 23:00:00,2012-01-01 00:00:00,,,Commercial Property,,,,Office,,294651.0,27373.961853,Commercial Real Estate,America/Los_Angeles,,Ellis,Office,weather22.csv
Office_Earl,2012-12-31 23:00:00,2012-01-01 00:00:00,,,Commercial Property,,,,Office,,496517.0,46127.918851,Bank/Financial Services,America/Los_Angeles,,Earl,Office,weather28.csv
PrimClass_Elisa,2012-12-31 23:00:00,2012-01-01 00:00:00,,,Education,,,,Primary/Secondary Classroom,,233062.0,21652.158986,Primary/Secondary School,America/New_York,,Elisa,PrimClass,weather23.csv
Office_Christopher,2015-12-31 23:00:00,2015-01-01 00:00:00,,,Education,,,,Office,,92271.0,8572.252713,College/University,America/New_York,2001.0,Christopher,Office,weather2.csv
PrimClass_Jo,2015-11-30 23:00:00,2014-12-01 00:00:00,,Gas,Education,Gas,2.0,212.0,Primary/Secondary Classroom,C,31505.9353,2927.0,Primary/Secondary School,Europe/London,pre 1919,Jo,PrimClass,weather1.csv
PrimClass_Johnnie,2015-11-30 23:00:00,2014-12-01 00:00:00,,Gas,Education,Gas,2.0,219.0,Primary/Secondary Classroom,C,47070.5347,4373.0,Primary/Secondary School,Europe/London,1919-1945,Johnnie,PrimClass,weather1.csv
Office_Jeannette,2015-11-30 23:00:00,2014-12-01 00:00:00,,Gas,Government,Gas,1.0,40.0,Office,C,42646.5718,3962.0,"City, County, State",Europe/London,Post 1976,Jeannette,Office,weather1.csv
PrimClass_Emerald,2012-12-31 23:00:00,2012-01-01 00:00:00,,,Education,,,,Primary/Secondary Classroom,,276443.0,25682.384029,Primary/Secondary School,America/New_York,,Emerald,PrimClass,weather17.csv
PrimClass_Emma,2012-12-31 23:00:00,2012-01-01 00:00:00,,,Education,,,,Primary/Secondary Classroom,,315404.0,29301.977812,Primary/Secondary School,America/New_York,,Emma,PrimClass,weather14.csv
PrimClass_Emanuel,2012-12-31 23:00:00,2012-01-01 00:00:00,,,Education,,,,Primary/Secondary Classroom,,77247.0,7176.478041,Primary/Secondary School,America/Denver,,Emanuel,PrimClass,weather35.csv
PrimClass_Emer,2012-12-31 23:00:00,2012-01-01 00:00:00,,,Education,,,,Primary/Secondary Classroom,,108405.0,10071.149715,Primary/Secondary School,America/New_York,,Emer,PrimClass,weather12.csv
PrimClass_Eoghan,2012-12-31 23:00:00,2012-01-01 00:00:00,,,Education,,,,Primary/Secondary Classroom,,92032.0,8550.048896,Primary/Secondary School,America/Denver,,Eoghan,PrimClass,weather18.csv
PrimClass_Eli,2012-12-31 23:00:00,2012-01-01 00:00:00,,,Education,,,,Primary/Secondary Classroom,,72333.0,6719.952699,Primary/Secondary School,America/Denver,,Eli,PrimClass,weather18.csv
PrimClass_Edgar,2012-12-31 23:00:00,2012-01-01 00:00:00,,,Education,,,,Primary/Secondary Classroom,,95132.0,8838.048196,Primary/Secondary School,America/Chicago,,Edgar,PrimClass,weather26.csv
PrimClass_Eliana,2012-12-31 23:00:00,2012-01-01 00:00:00,,,Education,,,,Primary/Secondary Classroom,,105215.0,9774.789145,Primary/Secondary School,America/New_York,,Eliana,PrimClass,weather12.csv
PrimClass_Ewan,2012-12-31 23:00:00,2012-01-01 00:00:00,,,Education,,,,Primary/Secondary Classroom,,81681.0,7588.409943,Primary/Secondary School,America/New_York,,Ewan,PrimClass,weather24.csv
PrimClass_Emanuela,2012-12-31 23:00:00,2012-01-01 00:00:00,,,Education,,,,Primary/Secondary Classroom,,153699.0,14279.098197,Primary/Secondary School,America/New_York,,Emanuela,PrimClass,weather29.csv
PrimClass_Erika,2012-12-31 23:00:00,2012-01-01 00:00:00,,,Education,,,,Primary/Secondary Classroom,,217241.0,20182.340623,Primary/Secondary School,America/New_York,,Erika,PrimClass,weather15.csv
PrimClass_Eugene,2012-12-31 23:00:00,2012-01-01 00:00:00,,,Education,,,,Primary/Secondary Classroom,,79503.0,7386.067209,Primary/Secondary School,America/Chicago,,Eugene,PrimClass,weather19.csv
PrimClass_Eleanor,2012-12-31 23:00:00,2012-01-01 00:00:00,,,Education,,,,Primary/Secondary Classroom,,197266.0,18326.603198,Primary/Secondary School,America/Chicago,,Eleanor,PrimClass,weather11.csv
PrimClass_Erica,2012-12-31 23:00:00,2012-01-01 00:00:00,,,Education,,,,Primary/Secondary Classroom,,94150.0,8746.81745,Primary/Secondary School,America/New_York,,Erica,PrimClass,weather14.csv
PrimClass_Elisabeth,2012-12-31 23:00:00,2012-01-01 00:00:00,,,Education,,,,Primary/Secondary Classroom,,92179.0,8563.705637,Primary/Secondary School,America/New_York,,Elisabeth,PrimClass,weather17.csv
PrimClass_Emily,2012-12-31 23:00:00,2012-01-01 00:00:00,,,Education,,,,Primary/Secondary Classroom,,86867.0,8070.204901,Primary/Secondary School,America/New_York,,Emily,PrimClass,weather15.csv
PrimClass_Erin,2012-12-31 23:00:00,2012-01-01 00:00:00,,,Education,,,,Primary/Secondary Classroom,,132737.0,12331.665511,Primary/Secondary School,America/New_York,,Erin,PrimClass,weather15.csv
Office_Emmanuel,2012-12-31 23:00:00,2012-01-01 00:00:00,,,Commercial Property,,,,Office,,126205.0,11724.823115,Business Services,America/New_York,,Emmanuel,Office,weather14.csv
PrimClass_Enrique,2012-12-31 23:00:00,2012-01-01 00:00:00,,,Education,,,,Primary/Secondary Classroom,,175537.0,16307.913911,Primary/Secondary School,America/Chicago,,Enrique,PrimClass,weather11.csv
PrimClass_Elsie,2012-12-31 23:00:00,2012-01-01 00:00:00,,,Education,,,,Primary/Secondary Classroom,,80224.0,7453.050272,Primary/Secondary School,America/New_York,,Elsie,PrimClass,weather38.csv
PrimClass_Ezra,2012-12-31 23:00:00,2012-01-01 00:00:00,,,Education,,,,Primary/Secondary Classroom,,97901.0,9095.296603,Primary/Secondary School,America/Chicago,,Ezra,PrimClass,weather11.csv
PrimClass_Eloise,2012-12-31 23:00:00,2012-01-01 00:00:00,,,Education,,,,Primary/Secondary Classroom,,117074.0,10876.525822,Primary/Secondary School,America/New_York,,Eloise,PrimClass,weather16.csv
PrimClass_Uriah,2013-01-31 23:00:00,2012-02-02 00:00:00,,,Education,,,,Primary/Secondary Classroom,,107639.0,10000.0,Primary/Secondary School,Asia/Singapore,,Uriah,PrimClass,weather10.csv
UnivClass_Terry,2013-12-31 23:00:00,2013-01-01 00:00:00,,,Education,,,,College Classroom,,5389.48473,500.7,College/University,Europe/Zurich,,Terry,UnivClass,weather8.csv
PrimClass_Emilio,2012-12-31 23:00:00,2012-01-01 00:00:00,,,Education,,,,Primary/Secondary Classroom,,129663.0,12046.081689,Primary/Secondary School,America/Chicago,,Emilio,PrimClass,weather21.csv
PrimClass_Eric,2012-12-31 23:00:00,2012-01-01 00:00:00,,,Education,,,,Primary/Secondary Classroom,,274418.0,25494.255454,Primary/Secondary School,America/Chicago,,Eric,PrimClass,weather32.csv
Office_Elijah,2012-12-31 23:00:00,2012-01-01 00:00:00,,,Commercial Property,,,,Office,,1675720.0,155679.41516,Business Services,America/Los_Angeles,,Elijah,Office,weather20.csv
PrimClass_Jarrett,2015-11-30 23:00:00,2014-12-01 00:00:00,,Gas,Education,Gas,1.0,269.0,Primary/Secondary Classroom,D,22948.6348,2132.0,Primary/Secondary School,Europe/London,1967-1976,Jarrett,PrimClass,weather1.csv
Office_Ernesto,2012-12-31 23:00:00,2012-01-01 00:00:00,,,Commercial Property,,,,Office,,191554.0,17795.941262,Corporate Office,America/New_York,,Ernesto,Office,weather36.csv
PrimClass_Jocelyn,2015-11-30 23:00:00,2014-12-01 00:00:00,,Gas,Education,Gas,2.0,293.0,Primary/Secondary Classroom,C,31613.5743,2937.0,Primary/Secondary School,Europe/London,1967-1976,Jocelyn,PrimClass,weather1.csv
PrimClass_Ulysses,2013-01-31 23:00:00,2012-02-02 00:00:00,,,Education,,,,Primary/Secondary Classroom,,129166.8,12000.0,Primary/Secondary School,Asia/Singapore,,Ulysses,PrimClass,weather10.csv
Office_Earnest,2012-12-31 23:00:00,2012-01-01 00:00:00,,,Commercial Property,,,,Office,,169420.0,15739.62626,Corporate Office,America/New_York,,Earnest,Office,weather37.csv
PrimClass_Jediah,2015-11-30 23:00:00,2014-12-01 00:00:00,,Gas,Education,Gas,1.0,,Primary/Secondary Classroom,,23163.9128,2152.0,Primary/Secondary School,Europe/London,1967-1976,Jediah,PrimClass,weather1.csv
Office_Jerri,2015-11-30 23:00:00,2014-12-01 00:00:00,,Gas,Government,Gas,2.0,,Office,,7879.1748,732.0,"City, County, State",Europe/London,pre 1919,Jerri,Office,weather1.csv
UnivDorm_Ursula,2013-01-31 23:00:00,2012-02-02 00:00:00,,,Education,,,,Dormitory,,129166.8,12000.0,Primary/Secondary School,Asia/Singapore,,Ursula,UnivDorm,weather10.csv
UnivLab_Prince,2015-12-31 23:00:00,2015-01-01 00:00:00,,,Education,,,,College Laboratory,,477724.0,44381.992772,College/University,America/New_York,,Prince,UnivLab,weather4.csv
Office_Jayla,2015-11-30 23:00:00,2014-12-01 00:00:00,,Oil,Government,Oil,2.0,0.0,Office,C,16597.9338,1542.0,"City, County, State",Europe/London,Post 1976,Jayla,Office,weather1.csv
Office_Eve,2012-12-31 23:00:00,2012-01-01 00:00:00,,,Commercial Property,,,,Office,,318130.0,29555.23139,Bank/Financial Services,America/Los_Angeles,,Eve,Office,weather27.csv
PrimClass_Uriel,2013-01-31 23:00:00,2012-02-02 00:00:00,,,Education,,,,Primary/Secondary Classroom,,129166.8,12000.0,Primary/Secondary School,Asia/Singapore,,Uriel,PrimClass,weather10.csv
PrimClass_Una,2013-01-31 23:00:00,2012-02-02 00:00:00,,,Education,,,,Primary/Secondary Classroom,,129166.8,12000.0,Primary/Secondary School,Asia/Singapore,,Una,PrimClass,weather10.csv
Office_Landon,2015-11-30 23:00:00,2014-12-01 00:00:00,,Gas,Education,Gas,6.0,,Office,,47727.1326,4434.0,College/University,Europe/London,1928,Landon,Office,weather5.csv
UnivDorm_Camden,2015-12-31 23:00:00,2015-01-01 00:00:00,,,Education,,,,Dormitory,,96336.0,8949.903408,College/University,America/New_York,1913.0,Camden,UnivDorm,weather2.csv
Office_Edmund,2012-12-31 23:00:00,2012-01-01 00:00:00,,,Commercial Property,,,,Office,,476246.0,44244.682138,Commercial Real Estate,America/New_York,,Edmund,Office,weather16.csv
Office_Esteban,2012-12-31 23:00:00,2012-01-01 00:00:00,,,Commercial Property,,,,Office,,428277.0,39788.218131,Commercial Real Estate,America/New_York,,Esteban,Office,weather25.csv
UnivClass_Teddy,2013-12-31 23:00:00,2013-01-01 00:00:00,,,Education,,,,College Classroom,,350333.72969,32547.1,College/University,Europe/Zurich,,Teddy,UnivClass,weather8.csv
PrimClass_Jaiden,2015-11-30 23:00:00,2014-12-01 00:00:00,,Gas,Education,Gas,2.0,414.0,Primary/Secondary Classroom,D,27684.7508,2572.0,Primary/Secondary School,Europe/London,pre 1919,Jaiden,PrimClass,weather1.csv
Office_Elyza,2012-12-31 23:00:00,2012-01-01 00:00:00,,,Commercial Property,,,,Office,,185847.0,17265.743841,Commercial Real Estate,America/New_York,,Elyza,Office,weather31.csv
PrimClass_James,2015-11-30 23:00:00,2014-12-01 00:00:00,,Gas,Education,Gas,2.0,230.0,Primary/Secondary Classroom,C,23185.4406,2154.0,Primary/Secondary School,Europe/London,1945-1966,James,PrimClass,weather1.csv
PrimClass_Jody,2015-11-30 23:00:00,2014-12-01 00:00:00,,Gas,Education,Gas,2.0,64.0,Primary/Secondary Classroom,B,42883.3776,3984.0,Primary/Secondary School,Europe/London,1967-1976,Jody,PrimClass,weather1.csv
Office_Edith,2012-12-31 23:00:00,2012-01-01 00:00:00,,,Commercial Property,,,,Office,,179665.0,16691.417495,Business Services,America/New_York,,Edith,Office,weather30.csv
Office_Josiah,2015-11-30 23:00:00,2014-12-01 00:00:00,,Gas,Government,Gas,2.0,,Office,,12206.2626,1134.0,"City, County, State",Europe/London,post 1976,Josiah,Office,weather1.csv
UnivDorm_Carmen,2015-12-31 23:00:00,2015-01-01 00:00:00,,,Education,,,,Dormitory,,40629.0,3774.555987,College/University,America/New_York,1975.0,Carmen,UnivDorm,weather2.csv
UnivClass_Cadence,2015-12-31 23:00:00,2015-01-01 00:00:00,,,Education,,,,College Classroom,,31415.0,2918.547745,College/University,America/New_York,1912.0,Cadence,UnivClass,weather2.csv
PrimClass_Justice,2015-11-30 23:00:00,2014-12-01 00:00:00,,Gas,Education,Gas,1.0,396.0,Primary/Secondary Classroom,C,20203.8403,1877.0,Primary/Secondary School,Europe/London,post 1976,Justice,PrimClass,weather1.csv
PrimClass_Julius,2015-11-30 23:00:00,2014-12-01 00:00:00,,Gas,Government,Gas,2.0,,Primary/Secondary Classroom,C,23486.8298,2182.0,Primary/Secondary School,Europe/London,1945-1966,Julius,PrimClass,weather1.csv
PrimClass_Jeremiah,2015-11-30 23:00:00,2014-12-01 00:00:00,,Gas,Government,Gas,4.0,1173.0,Primary/Secondary Classroom,D,95432.7374,8866.0,Primary/Secondary School,Europe/London,1945-1966,Jeremiah,PrimClass,weather1.csv
PrimClass_Jason,2015-11-30 23:00:00,2014-12-01 00:00:00,,Gas,Education,Gas,3.0,517.0,Primary/Secondary Classroom,C,31635.1021,2939.0,Primary/Secondary School,Europe/London,1945-1966,Jason,PrimClass,weather1.csv
PrimClass_Joann,2015-11-30 23:00:00,2014-12-01 00:00:00,,Gas,Education,Gas,1.0,515.0,Primary/Secondary Classroom,C,28190.6541,2619.0,Primary/Secondary School,Europe/London,pre 1919,Joann,PrimClass,weather1.csv
PrimClass_Janet,2015-11-30 23:00:00,2014-12-01 00:00:00,,Gas,Education,Gas,2.0,348.0,Primary/Secondary Classroom,C,27663.223,2570.0,Primary/Secondary School,Europe/London,1945-1966,Janet,PrimClass,weather1.csv
PrimClass_Javier,2015-11-30 23:00:00,2014-12-01 00:00:00,,Gas,Education,Gas,2.0,304.0,Primary/Secondary Classroom,D,30300.3785,2815.0,Primary/Secondary School,Europe/London,1945-1966,Javier,PrimClass,weather1.csv
PrimClass_Juliette,2015-11-30 23:00:00,2014-12-01 00:00:00,,Gas,Education,Gas,1.0,101.0,Primary/Secondary Classroom,,7922.2304,736.0,Primary/Secondary School,Europe/London,1945-1966,Juliette,PrimClass,weather1.csv
PrimClass_Jeanine,2015-11-30 23:00:00,2014-12-01 00:00:00,,Gas,Government,Gas,2.0,441.0,Primary/Secondary Classroom,C,25133.7065,2335.0,Primary/Secondary School,Europe/London,1945-1966,Jeanine,PrimClass,weather1.csv
PrimClass_Jayne,2015-11-30 23:00:00,2014-12-01 00:00:00,,Gas,Education,Gas,4.0,29.0,Primary/Secondary Classroom,E,12087.8597,1123.0,Primary/Secondary School,Europe/London,pre 1919,Jayne,PrimClass,weather1.csv
PrimClass_Jennie,2015-11-30 23:00:00,2014-12-01 00:00:00,,Gas,Education,Gas,1.0,317.0,Primary/Secondary Classroom,D,34562.8829,3211.0,Primary/Secondary School,Europe/London,1945-1966,Jennie,PrimClass,weather1.csv
PrimClass_Jill,2015-11-30 23:00:00,2014-12-01 00:00:00,,Gas,Education,Gas,2.0,315.0,Primary/Secondary Classroom,E,27501.7645,2555.0,Primary/Secondary School,Europe/London,post 1976,Jill,PrimClass,weather1.csv
PrimClass_Jorja,2015-11-30 23:00:00,2014-12-01 00:00:00,,Gas,Education,Gas,2.0,387.0,Primary/Secondary Classroom,D,22184.3979,2061.0,Primary/Secondary School,Europe/London,pre 1919,Jorja,PrimClass,weather1.csv
PrimClass_Jesse,2015-11-30 23:00:00,2014-12-01 00:00:00,,Gas,Government,Gas,1.0,171.0,Primary/Secondary Classroom,F,14025.3617,1303.0,Primary/Secondary School,Europe/London,1945-1966,Jesse,PrimClass,weather1.csv
Office_Manuel,2015-04-30 23:00:00,2014-05-01 00:00:00,,,Education,,,,Office,,33401.0,3103.053103,College/University,America/Chicago,,Manuel,Office,weather3.csv
PrimClass_Jimmy,2015-11-30 23:00:00,2014-12-01 00:00:00,,Gas,Education,Gas,3.0,241.0,Primary/Secondary Classroom,D,26027.1102,2418.0,Primary/Secondary School,Europe/London,pre 1919,Jimmy,PrimClass,weather1.csv
PrimClass_Joselyn,2015-11-30 23:00:00,2014-12-01 00:00:00,,Gas,Education,Gas,2.0,427.0,Primary/Secondary Classroom,C,25865.6517,2403.0,Primary/Secondary School,Europe/London,pre 1919,Joselyn,PrimClass,weather1.csv
PrimClass_Joanne,2015-11-30 23:00:00,2014-12-01 00:00:00,,Gas,Education,Gas,4.0,1164.0,Primary/Secondary Classroom,E,126045.269,11710.0,Primary/Secondary School,Europe/London,1945-1966,Joanne,PrimClass,weather1.csv
UnivClass_Connie,2015-12-31 23:00:00,2015-01-01 00:00:00,,,Education,,,,College Classroom,,23232.0,2158.322496,College/University,America/New_York,1871.0,Connie,UnivClass,weather2.csv
PrimClass_Johanna,2015-11-30 23:00:00,2014-12-01 00:00:00,,Gas,Education,Gas,2.0,284.0,Primary/Secondary Classroom,C,28825.7242,2678.0,Primary/Secondary School,Europe/London,post 1976,Johanna,PrimClass,weather1.csv
PrimClass_Johnathon,2015-11-30 23:00:00,2014-12-01 00:00:00,,Gas,Government,Gas,2.0,235.0,Primary/Secondary Classroom,C,11603.4842,1078.0,Primary/Secondary School,Europe/London,1919-1945,Johnathon,PrimClass,weather1.csv
PrimClass_Jeffery,2015-11-30 23:00:00,2014-12-01 00:00:00,,Gas,Education,Gas,1.0,40.0,Primary/Secondary Classroom,E,12970.4995,1205.0,Primary/Secondary School,Europe/London,1967-1976,Jeffery,PrimClass,weather1.csv
PrimClass_Jillian,2015-11-30 23:00:00,2014-12-01 00:00:00,,Gas,Education,Gas,3.0,353.0,Primary/Secondary Classroom,C,33981.6323,3157.0,Primary/Secondary School,Europe/London,1967-1976,Jillian,PrimClass,weather1.csv
PrimClass_Jimmie,2015-11-30 23:00:00,2014-12-01 00:00:00,,Gas,Education,Gas,2.0,383.0,Primary/Secondary Classroom,D,31871.9079,2961.0,Primary/Secondary School,Europe/London,pre 1919,Jimmie,PrimClass,weather1.csv
UnivLab_Belinda,2012-12-31 23:00:00,2012-01-01 00:00:00,,,Education,,,,College Laboratory,,203787.0,18932.423661,College/University,America/Los_Angeles,1999.0,Belinda,UnivLab,weather7.csv
PrimClass_Jesus,2015-11-30 23:00:00,2014-12-01 00:00:00,,Gas,Education,Gas,1.0,235.0,Primary/Secondary Classroom,D,11463.5535,1065.0,Primary/Secondary School,Europe/London,post 1976,Jesus,PrimClass,weather1.csv
PrimClass_Jayson,2015-11-30 23:00:00,2014-12-01 00:00:00,,Gas,Education,Gas,2.0,359.0,Primary/Secondary Classroom,D,29148.6412,2708.0,Primary/Secondary School,Europe/London,pre 1919,Jayson,PrimClass,weather1.csv
PrimClass_Janelle,2015-11-30 23:00:00,2014-12-01 00:00:00,,Gas,Government,Gas,2.0,1104.0,Primary/Secondary Classroom,C,137045.9748,12732.0,Primary/Secondary School,Europe/London,1945-1966,Janelle,PrimClass,weather1.csv
PrimClass_Jamie,2015-11-30 23:00:00,2014-12-01 00:00:00,,Gas,Education,Gas,1.0,201.0,Primary/Secondary Classroom,D,11689.5954,1086.0,Primary/Secondary School,Europe/London,1967-1976,Jamie,PrimClass,weather1.csv
PrimClass_Jolie,2015-11-30 23:00:00,2014-12-01 00:00:00,,Gas,Education,Gas,2.0,300.0,Primary/Secondary Classroom,E,18696.8943,1737.0,Primary/Secondary School,Europe/London,pre 1919,Jolie,PrimClass,weather1.csv
PrimClass_Joy,2015-11-30 23:00:00,2014-12-01 00:00:00,,Gas,Education,Gas,2.0,583.0,Primary/Secondary Classroom,D,32194.8249,2991.0,Primary/Secondary School,Europe/London,pre 1919,Joy,PrimClass,weather1.csv
UnivClass_Jensen,2015-11-30 23:00:00,2014-12-01 00:00:00,,Gas,Education,Gas,3.0,,College Classroom,D,109070.5987,10133.0,College/University,Europe/London,1945-1966,Jensen,UnivClass,weather1.csv
Office_Mario,2015-04-30 23:00:00,2014-05-01 00:00:00,100.0,,Education,,,,Office,,20864.0,1938.328192,College/University,America/Chicago,,Mario,Office,weather3.csv
UnivClass_Brooke,2012-12-31 23:00:00,2012-01-01 00:00:00,,,Education,,,,College Classroom,,57600.0,5351.2128,College/University,America/Los_Angeles,1948.0,Brooke,UnivClass,weather7.csv
PrimClass_Jaxon,2015-11-30 23:00:00,2014-12-01 00:00:00,,Gas,Education,Gas,2.0,1071.0,Primary/Secondary Classroom,D,88855.9945,8255.0,Primary/Secondary School,Europe/London,post 1976,Jaxon,PrimClass,weather1.csv
PrimClass_Jacob,2015-11-30 23:00:00,2014-12-01 00:00:00,,Gas,Education,Gas,3.0,489.0,Primary/Secondary Classroom,C,29891.3503,2777.0,Primary/Secondary School,Europe/London,1945-1966,Jacob,PrimClass,weather1.csv
PrimClass_Jerome,2015-11-30 23:00:00,2014-12-01 00:00:00,,Gas,Education,Gas,1.0,313.0,Primary/Secondary Classroom,C,24089.6082,2238.0,Primary/Secondary School,Europe/London,post 1976,Jerome,PrimClass,weather1.csv
PrimClass_Jennifer,2015-11-30 23:00:00,2014-12-01 00:00:00,,Gas,Education,Gas,1.0,197.0,Primary/Secondary Classroom,D,10914.5946,1014.0,Primary/Secondary School,Europe/London,1967-1976,Jennifer,PrimClass,weather1.csv
Office_Miriam,2015-04-30 23:00:00,2014-05-01 00:00:00,87.0,,Education,,,,Office,,92994.0,8639.421582,College/University,America/Chicago,,Miriam,Office,weather3.csv
PrimClass_Jane,2015-11-30 23:00:00,2014-12-01 00:00:00,,Gas,Education,Gas,3.0,956.0,Primary/Secondary Classroom,C,93764.3329,8711.0,Primary/Secondary School,Europe/London,1919-1945,Jane,PrimClass,weather1.csv
PrimClass_Janis,2015-11-30 23:00:00,2014-12-01 00:00:00,,Gas,Education,Gas,2.0,333.0,Primary/Secondary Classroom,D,18201.7549,1691.0,Primary/Secondary School,Europe/London,pre 1919,Janis,PrimClass,weather1.csv
PrimClass_Jodi,2015-11-30 23:00:00,2014-12-01 00:00:00,,Gas,Education,Gas,1.0,456.0,Primary/Secondary Classroom,D,35768.4397,3323.0,Primary/Secondary School,Europe/London,1945-1966,Jodi,PrimClass,weather1.csv
PrimClass_Jaden,2015-11-30 23:00:00,2014-12-01 00:00:00,,Gas,Education,Gas,1.0,193.0,Primary/Secondary Classroom,,13788.5559,1281.0,Primary/Secondary School,Europe/London,pre 1919,Jaden,PrimClass,weather1.csv
Office_Caroline,2015-12-31 23:00:00,2015-01-01 00:00:00,,,Education,,,,Office,,21618.0,2008.377054,College/University,America/New_York,1887.0,Caroline,Office,weather2.csv
UnivDorm_Patty,2015-12-31 23:00:00,2015-01-01 00:00:00,,,Education,,,,Dormitory,,87661.0,8143.969883,College/University,America/New_York,,Patty,UnivDorm,weather4.csv
PrimClass_Josue,2015-11-30 23:00:00,2014-12-01 00:00:00,,Gas,Education,Gas,1.0,402.0,Primary/Secondary Classroom,D,23293.0796,2164.0,Primary/Secondary School,Europe/London,post 1976,Josue,PrimClass,weather1.csv
UnivClass_Tom,2013-12-31 23:00:00,2013-01-01 00:00:00,,,Education,,,,College Classroom,,5119.31084,475.6,College/University,Europe/Zurich,,Tom,UnivClass,weather8.csv
PrimClass_Jermaine,2015-11-30 23:00:00,2014-12-01 00:00:00,,Gas,Education,Gas,2.0,287.0,Primary/Secondary Classroom,D,15801.4052,1468.0,Primary/Secondary School,Europe/London,1967-1976,Jermaine,PrimClass,weather1.csv
Office_Miles,2015-04-30 23:00:00,2014-05-01 00:00:00,88.0,,Education,,,,Office,,84365.0,7837.761595,College/University,America/Chicago,,Miles,Office,weather3.csv
PrimClass_Jacqueline,2015-11-30 23:00:00,2014-12-01 00:00:00,,Gas,Education,Gas,4.0,1500.0,Primary/Secondary Classroom,C,128682.4245,11955.0,Primary/Secondary School,Europe/London,1945-1966,Jacqueline,PrimClass,weather1.csv
PrimClass_Jolene,2015-11-30 23:00:00,2014-12-01 00:00:00,,Gas,Education,Gas,3.0,362.0,Primary/Secondary Classroom,D,37264.6218,3462.0,Primary/Secondary School,Europe/London,pre 1919,Jolene,PrimClass,weather1.csv
Office_Juanita,2015-11-30 23:00:00,2014-12-01 00:00:00,,Gas,Government,Gas,1.0,12.0,Office,G,11872.5817,1103.0,"City, County, State",Europe/London,1945-1966,Juanita,Office,weather1.csv
UnivDorm_Cristian,2015-12-31 23:00:00,2015-01-01 00:00:00,,,Education,,,,Dormitory,,40492.0,3761.828276,College/University,America/New_York,1975.0,Cristian,UnivDorm,weather2.csv
PrimClass_Joseph,2015-11-30 23:00:00,2014-12-01 00:00:00,,Gas,Education,Gas,1.0,464.0,Primary/Secondary Classroom,D,23842.0385,2215.0,Primary/Secondary School,Europe/London,1919-1945,Joseph,PrimClass,weather1.csv
